"","route","2012","2013","2014","2015","2016","2017","2018"
"111","71",3397683,2864625,2840635,2851832,2777530,2902406,697399
"112","72",5707131,5406747,5177469,5211850,4959819,4712979,1070296
"113","73",1913229,1791642,1319750,1280858,1722672,1656099,385786
"114","74",4489623,4350562,4149836,4113423,3865711,3761014,886653
"115","75",2678824,2362170,2453333,2422955,2230746,2182861,521343
"116","76",3898584,3875092,3712575,3723584,3622252,3339648,810033
"117","77",7657463,7394130,6943544,7008076,6671135,6416228,1487128
"118","78",2995443,2895379,2700222,2561763,2370553,2350297,562147
"119","79",10200267,8852931,8395095,8716273,8268367,7869078,1834081
"120","8",7334879,7283520,6741433,6820588,6375504,6272020,1574074
"121","80",4752414,4440906,4141234,4093915,3757834,3495246,801648
"122","81",4575165,4315971,4040281,4014557,3958320,3763316,869373
"123","81W",502254,532757,512328,495479,515183,507508,125850
"124","82",6294079,6140699,5801703,5898216,5775101,5340350,1271750
"125","84",1316511,1261757,1190016,1211526,1148067,1112847,255542
"126","85",3771323,3553396,3300161,3278083,3062225,2882077,671233
"127","85A",287205,254176,244146,200571,168648,164685,36983
"128","86",734222,767008,668857,669739,631746,618620,150833
"129","87",5077387,4411294,4125200,4230054,3988939,3783376,867740
"130","88",404997,407124,381854,378397,407710,394826,94124
"131","8A",1328465,1456807,1052107,1052086,958869,905903,211625
"132","9",10266514,9842223,8698215,8856964,6329587,6222692,1440354
"133","90",1733856,1676598,1598394,1577324,1499521,1419781,310542
"134","90N",125427,NA,NA,NA,NA,NA,NA
"135","91",2475295,2282295,2180057,2154171,1981453,1971388,461102
"136","92",2284098,2205256,2127211,2148058,2022942,1948483,459876
"137","93",994091,1018879,945087,962604,952404,925024,222197
"138","94",3224708,3098878,2828217,2903477,2734488,2594774,599403
"139","95",NA,NA,NA,NA,595069,1781664,415194
"140","95E",1562701,1382130,1219301,1211142,754327,NA,NA
"141","95W",1558790,933757,821034,809737,478787,NA,NA
"142","96",233012,212775,203760,223887,220571,208699,50794
"143","97",1288141,1158178,1011770,1017728,993083,928966,215056
